clientid,client_name,client_phone,client_email,looking_for,requirements,status,client_bhk,client_furnishing,client_location,client_flexible_location,client_budget,client_listing_type
CL-1140,Pranit Sani,915342566353,pranit.98@example.com,Rent,"2 BHK Fully Furnished in Mira Road East, Rent up to â‚¹36k",Negotiating,2,Fully Furnished,Mira Road East,False,36000,Rent
CL-1141,Pranav Palan,916404722093,pranav.56@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹145L",Site Visit Planned,2,,Mira Road East,False,14500000,Sale
CL-1142,Naksh Chaudhary,6335008113,naksh.47@example.com,Rent,"2 BHK Fully Furnished in Mira Road East, Rent up to â‚¹32k",Negotiating,2,Fully Furnished,Mira Road East,False,32000,Rent
CL-1143,Lekha Balasubramanian,6636511977,lekha.32@example.com,Rent,"3 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹44k",Actively Searching,3,Unfurnished,Anywhere in Mira Bhayandar,True,44000,Rent
CL-1144,Gaurika Gade,3211895440,gaurika.28@example.com,Rent,"1 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹23k",On Hold,1,Fully Furnished,Bhayandar East,False,23000,Rent
CL-1145,Hemang Choudhry,919153521013,hemang.40@example.com,Rent,"3 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹54k",On Hold,3,Semi-Furnished,Mira Road East,False,54000,Rent
CL-1146,Udyati Narang,913906373159,udyati.33@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹130L",On Hold,2,,Bhayandar West,False,13000000,Sale
CL-1147,Arya Batra,3048456717,arya.76@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹95L",Actively Searching,2,,Mira Road East,False,9500000,Sale
CL-1148,Amol Thaman,913393113922,amol.43@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹55L",Deal Closed,1,,Bhayandar East,False,5500000,Sale
CL-1149,Anay Pai,914941352391,anay.40@example.com,Rent,"1 BHK Unfurnished in Bhayandar East, Rent up to â‚¹20k",Lost Interest,1,Unfurnished,Bhayandar East,False,20000,Rent
CL-1150,Rayaan Dave,3337485894,rayaan.58@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹50L",Actively Searching,1,,Mira Road East,False,5000000,Sale
CL-1151,Pratyush Joshi,5653403576,pratyush.56@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹130L",Site Visit Planned,2,,Mira Road East,False,13000000,Sale
CL-1152,Jagdish Murthy,5635749321,jagdish.54@example.com,Rent,"1 BHK Unfurnished in Mira Road East, Rent up to â‚¹18k",Actively Searching,1,Unfurnished,Mira Road East,False,18000,Rent
CL-1153,Lipika Mukherjee,911283548687,lipika.1@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹105L",On Hold,2,,Bhayandar West,False,10500000,Sale
CL-1154,Baljiwan Chander,1916811300,baljiwan.68@example.com,Rent,"1 BHK Unfurnished in Mira Road East, Rent up to â‚¹21k",Lost Interest,1,Unfurnished,Mira Road East,False,21000,Rent
CL-1155,Ijaya Pall,919722830903,ijaya.56@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹50L",Negotiating,1,,Mira Road East,False,5000000,Sale
CL-1156,Vasana Chaudhry,5768653837,vasana.84@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹85L",Lost Interest,2,,Bhayandar West,False,8500000,Sale
CL-1157,Sachi Dara,6147614597,sachi.73@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹105L",Negotiating,2,,Mira Road East,False,10500000,Sale
CL-1158,Anmol Vasa,919578089747,anmol.84@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹105L",On Hold,2,,Mira Road East,False,10500000,Sale
CL-1159,Jatin Vora,949887809,jatin.29@example.com,Rent,"3 BHK Unfurnished in Bhayandar East, Rent up to â‚¹58k",Lost Interest,3,Unfurnished,Bhayandar East,False,58000,Rent
CL-1160,Qabil Nair,4403193612,qabil.40@example.com,Sale,"1 BHK in Bhayandar West, Budget â‚¹70L",Negotiating,1,,Bhayandar West,False,7000000,Sale
CL-1161,Chandani Thakkar,413725090,chandani.32@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹95L",Site Visit Planned,2,,Bhayandar West,False,9500000,Sale
CL-1162,Anjali Pandit,7606943376,anjali.84@example.com,Rent,"1 BHK Unfurnished in Bhayandar East, Rent up to â‚¹23k",Site Visit Planned,1,Unfurnished,Bhayandar East,False,23000,Rent
CL-1163,Ria Dâ€™Alia,69122791,ria.93@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹55L",On Hold,1,,Bhayandar East,False,5500000,Sale
CL-1164,Rajeshri Parsa,4363472900,rajeshri.39@example.com,Rent,"1 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹22k",Negotiating,1,Semi-Furnished,Mira Road East,False,22000,Rent
CL-1165,Wahab Gill,922568474,wahab.32@example.com,Rent,"2 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹31k",Deal Closed,2,Semi-Furnished,Mira Road East,False,31000,Rent
CL-1166,Aayush Bajwa,913692973644,aayush.47@example.com,Rent,"3 BHK Unfurnished in Mira Road East, Rent up to â‚¹52k",Actively Searching,3,Unfurnished,Mira Road East,False,52000,Rent
CL-1167,Veda Srinivas,4878865764,veda.81@example.com,Rent,"1 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹20k",Deal Closed,1,Unfurnished,Anywhere in Mira Bhayandar,True,20000,Rent
CL-1168,Netra Lal,9718972666,netra.33@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹85L",Negotiating,2,,Anywhere in Mira Bhayandar,True,8500000,Sale
CL-1169,Karan Pandey,916192453090,karan.7@example.com,Rent,"2 BHK Semi-Furnished in Bhayandar East, Rent up to â‚¹37k",Deal Closed,2,Semi-Furnished,Bhayandar East,False,37000,Rent
CL-1170,Ekansh Yogi,1418716581,ekansh.1@example.com,Rent,"1 BHK Fully Furnished in Bhayandar West, Rent up to â‚¹23k",On Hold,1,Fully Furnished,Bhayandar West,False,23000,Rent
CL-1171,Irya Raja,915423576700,irya.52@example.com,Rent,"3 BHK Unfurnished in Bhayandar West, Rent up to â‚¹46k",Deal Closed,3,Unfurnished,Bhayandar West,False,46000,Rent
CL-1172,Abhimanyu Chaudry,913338528862,abhimanyu.74@example.com,Sale,"2 BHK in Bhayandar East, Budget â‚¹95L",Negotiating,2,,Bhayandar East,False,9500000,Sale
CL-1173,Nimrat Mukherjee,913491199072,nimrat.6@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹240L",Lost Interest,3,,Mira Road East,False,24000000,Sale
CL-1174,Frederick Chopra,6747401406,frederick.70@example.com,Sale,"2 BHK in Bhayandar East, Budget â‚¹120L",Negotiating,2,,Bhayandar East,False,12000000,Sale
CL-1175,Ridhi Ray,1430940034,ridhi.15@example.com,Rent,"3 BHK Semi-Furnished in Bhayandar West, Rent up to â‚¹54k",Actively Searching,3,Semi-Furnished,Bhayandar West,False,54000,Rent
CL-1176,Abhimanyu Garg,4855116366,abhimanyu.10@example.com,Rent,"3 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹46k",Negotiating,3,Semi-Furnished,Anywhere in Mira Bhayandar,True,46000,Rent
CL-1177,Krishna Sarna,7769474670,krishna.95@example.com,Rent,"1 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹22k",Actively Searching,1,Unfurnished,Anywhere in Mira Bhayandar,True,22000,Rent
CL-1178,Gaurangi Barad,917974680782,gaurangi.44@example.com,Rent,"2 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹29k",Actively Searching,2,Semi-Furnished,Anywhere in Mira Bhayandar,True,29000,Rent
CL-1179,Amol Jani,915317731735,amol.30@example.com,Rent,"1 BHK Fully Furnished in Bhayandar West, Rent up to â‚¹21k",On Hold,1,Fully Furnished,Bhayandar West,False,21000,Rent
CL-1180,Yochana Pant,1819588475,yochana.12@example.com,Rent,"2 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹27k",Site Visit Planned,2,Semi-Furnished,Mira Road East,False,27000,Rent
CL-1181,Theodore Gade,919225995493,theodore.66@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹60L",Negotiating,1,,Mira Road East,False,6000000,Sale
CL-1182,Joshua Narasimhan,915883611805,joshua.65@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹150L",Deal Closed,3,,Mira Road East,False,15000000,Sale
CL-1183,Girik Balakrishnan,6984288868,girik.95@example.com,Rent,"1 BHK Fully Furnished in Mira Road East, Rent up to â‚¹19k",Site Visit Planned,1,Fully Furnished,Mira Road East,False,19000,Rent
CL-1184,Leela Khalsa,6947983323,leela.84@example.com,Rent,"3 BHK Unfurnished in Bhayandar East, Rent up to â‚¹40k",Actively Searching,3,Unfurnished,Bhayandar East,False,40000,Rent
CL-1185,Ishaan Natarajan,2604383958,ishaan.25@example.com,Rent,"2 BHK Unfurnished in Bhayandar West, Rent up to â‚¹32k",Lost Interest,2,Unfurnished,Bhayandar West,False,32000,Rent
CL-1186,Libni Solanki,9351810847,libni.84@example.com,Rent,"3 BHK Fully Furnished in Mira Road East, Rent up to â‚¹52k",Site Visit Planned,3,Fully Furnished,Mira Road East,False,52000,Rent
CL-1187,Bhanumati Singhal,910960116797,bhanumati.42@example.com,Sale,"2 BHK in Bhayandar East, Budget â‚¹140L",On Hold,2,,Bhayandar East,False,14000000,Sale
CL-1188,Owen Hans,3025773156,owen.5@example.com,Sale,"1 BHK in Anywhere in Mira Bhayandar, Budget â‚¹65L",Site Visit Planned,1,,Anywhere in Mira Bhayandar,True,6500000,Sale
CL-1189,Gopal Jayaraman,6853492672,gopal.75@example.com,Rent,"1 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹18k",Lost Interest,1,Semi-Furnished,Mira Road East,False,18000,Rent
CL-1190,Jyoti Gala,4694437278,jyoti.47@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹150L",Site Visit Planned,3,,Bhayandar West,False,15000000,Sale
CL-1191,Jai Suresh,3129103800,jai.46@example.com,Rent,"1 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹18k",Deal Closed,1,Semi-Furnished,Mira Road East,False,18000,Rent
CL-1192,Aishani Mane,5866353334,aishani.96@example.com,Rent,"1 BHK Semi-Furnished in Bhayandar East, Rent up to â‚¹24k",Actively Searching,1,Semi-Furnished,Bhayandar East,False,24000,Rent
CL-1193,Amrita Sachdev,3098519171,amrita.44@example.com,Rent,"1 BHK Fully Furnished in Mira Road East, Rent up to â‚¹20k",Actively Searching,1,Fully Furnished,Mira Road East,False,20000,Rent
CL-1194,Gagan Som,4663954370,gagan.37@example.com,Sale,"3 BHK in Anywhere in Mira Bhayandar, Budget â‚¹170L",Site Visit Planned,3,,Anywhere in Mira Bhayandar,True,17000000,Sale
CL-1195,Aryan Virk,2191471122,aryan.60@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹70L",On Hold,1,,Bhayandar East,False,7000000,Sale
CL-1196,Amol Sekhon,6846974791,amol.60@example.com,Rent,"1 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹19k",Deal Closed,1,Fully Furnished,Bhayandar East,False,19000,Rent
CL-1197,Ojasvi Master,7619874934,ojasvi.31@example.com,Rent,"2 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹37k",Negotiating,2,Semi-Furnished,Mira Road East,False,37000,Rent
CL-1198,Aashi Bains,9199038441,aashi.8@example.com,Rent,"2 BHK Unfurnished in Bhayandar West, Rent up to â‚¹36k",Site Visit Planned,2,Unfurnished,Bhayandar West,False,36000,Rent
CL-1199,Vansha Kurian,7192730984,vansha.75@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹70L",Lost Interest,1,,Bhayandar East,False,7000000,Sale
CL-1200,Dayita Khatri,919077677065,dayita.63@example.com,Sale,"1 BHK in Bhayandar West, Budget â‚¹70L",Lost Interest,1,,Bhayandar West,False,7000000,Sale
CL-1201,Nitara Bhalla,9318467548,nitara.44@example.com,Rent,"1 BHK Semi-Furnished in Bhayandar West, Rent up to â‚¹20k",Actively Searching,1,Semi-Furnished,Bhayandar West,False,20000,Rent
CL-1202,Ishwar Ramachandran,8531295995,ishwar.38@example.com,Sale,"3 BHK in Bhayandar East, Budget â‚¹200L",Actively Searching,3,,Bhayandar East,False,20000000,Sale
CL-1203,Ishani Mangat,910378362942,ishani.2@example.com,Rent,"3 BHK Unfurnished in Bhayandar East, Rent up to â‚¹42k",Lost Interest,3,Unfurnished,Bhayandar East,False,42000,Rent
CL-1204,Praneel Radhakrishnan,8778472288,praneel.56@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹240L",Negotiating,3,,Bhayandar West,False,24000000,Sale
CL-1205,Vrinda Chanda,6468257046,vrinda.99@example.com,Rent,"3 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹40k",Negotiating,3,Unfurnished,Anywhere in Mira Bhayandar,True,40000,Rent
CL-1206,Charles Anand,915273160272,charles.61@example.com,Sale,"3 BHK in Bhayandar East, Budget â‚¹170L",On Hold,3,,Bhayandar East,False,17000000,Sale
CL-1207,Vincent Jha,1535928561,vincent.2@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹85L",On Hold,2,,Anywhere in Mira Bhayandar,True,8500000,Sale
CL-1208,Rajeshri Mammen,919282568006,rajeshri.77@example.com,Sale,"1 BHK in Anywhere in Mira Bhayandar, Budget â‚¹70L",Lost Interest,1,,Anywhere in Mira Bhayandar,True,7000000,Sale
CL-1209,Yagnesh Kapadia,915072940759,yagnesh.58@example.com,Sale,"3 BHK in Anywhere in Mira Bhayandar, Budget â‚¹200L",Negotiating,3,,Anywhere in Mira Bhayandar,True,20000000,Sale
CL-1210,Sai Nair,9686939701,sai.20@example.com,Rent,"1 BHK Fully Furnished in Mira Road East, Rent up to â‚¹19k",Deal Closed,1,Fully Furnished,Mira Road East,False,19000,Rent
CL-1211,Krishna Dalal,9258863154,krishna.24@example.com,Rent,"1 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹20k",Actively Searching,1,Fully Furnished,Anywhere in Mira Bhayandar,True,20000,Rent
CL-1212,Dev Roy,6162922595,dev.45@example.com,Rent,"3 BHK Semi-Furnished in Bhayandar West, Rent up to â‚¹56k",On Hold,3,Semi-Furnished,Bhayandar West,False,56000,Rent
CL-1213,Vedika Pall,3094063014,vedika.93@example.com,Sale,"3 BHK in Bhayandar East, Budget â‚¹190L",Deal Closed,3,,Bhayandar East,False,19000000,Sale
CL-1214,Harish Bhatia,2758770000,harish.2@example.com,Rent,"2 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹35k",Negotiating,2,Fully Furnished,Bhayandar East,False,35000,Rent
CL-1215,Omya Ratta,3269286282,omya.83@example.com,Rent,"3 BHK Unfurnished in Mira Road East, Rent up to â‚¹40k",Actively Searching,3,Unfurnished,Mira Road East,False,40000,Rent
CL-1216,Imaran Maharaj,913279559131,imaran.72@example.com,Rent,"3 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹42k",Deal Closed,3,Semi-Furnished,Anywhere in Mira Bhayandar,True,42000,Rent
CL-1217,Warinder Dora,4108926067,warinder.22@example.com,Rent,"3 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹54k",On Hold,3,Semi-Furnished,Mira Road East,False,54000,Rent
CL-1218,Dhruv Ahluwalia,2744986347,dhruv.17@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹130L",Site Visit Planned,2,,Mira Road East,False,13000000,Sale
CL-1219,Ijaya Prasad,911608244199,ijaya.21@example.com,Sale,"2 BHK in Bhayandar East, Budget â‚¹145L",Lost Interest,2,,Bhayandar East,False,14500000,Sale
CL-1220,Wazir Basu,4294976139,wazir.32@example.com,Rent,"1 BHK Fully Furnished in Mira Road East, Rent up to â‚¹20k",Negotiating,1,Fully Furnished,Mira Road East,False,20000,Rent
CL-1221,Logan Dora,272123376,logan.22@example.com,Rent,"1 BHK Unfurnished in Bhayandar West, Rent up to â‚¹21k",Lost Interest,1,Unfurnished,Bhayandar West,False,21000,Rent
CL-1222,Manan Palla,916778077933,manan.49@example.com,Rent,"2 BHK Semi-Furnished in Bhayandar West, Rent up to â‚¹28k",Negotiating,2,Semi-Furnished,Bhayandar West,False,28000,Rent
CL-1223,Yatin Arora,5717693658,yatin.12@example.com,Rent,"3 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹56k",Site Visit Planned,3,Fully Furnished,Bhayandar East,False,56000,Rent
CL-1224,Amrita Yogi,1696089776,amrita.71@example.com,Rent,"3 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹44k",Lost Interest,3,Fully Furnished,Anywhere in Mira Bhayandar,True,44000,Rent
CL-1225,Pooja Sunder,4583624997,pooja.50@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹55L",On Hold,1,,Bhayandar East,False,5500000,Sale
CL-1226,Kabir Natarajan,7141500366,kabir.62@example.com,Rent,"1 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹21k",Lost Interest,1,Fully Furnished,Anywhere in Mira Bhayandar,True,21000,Rent
CL-1227,Meera Patil,5057855033,meera.45@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹60L",Deal Closed,1,,Mira Road East,False,6000000,Sale
CL-1228,Abhimanyu Raju,5120054392,abhimanyu.4@example.com,Rent,"3 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹48k",On Hold,3,Fully Furnished,Bhayandar East,False,48000,Rent
CL-1229,Harinakshi Singhal,5048768552,harinakshi.84@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹65L",Deal Closed,1,,Mira Road East,False,6500000,Sale
CL-1230,Theodore Bedi,917502577157,theodore.66@example.com,Rent,"2 BHK Unfurnished in Bhayandar West, Rent up to â‚¹39k",Site Visit Planned,2,Unfurnished,Bhayandar West,False,39000,Rent
CL-1231,Meera Karnik,912133160033,meera.15@example.com,Sale,"1 BHK in Bhayandar West, Budget â‚¹60L",Lost Interest,1,,Bhayandar West,False,6000000,Sale
CL-1232,Hitesh Chatterjee,657880269,hitesh.22@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹100L",Lost Interest,2,,Bhayandar West,False,10000000,Sale
CL-1233,Ridhi Pal,1510217737,ridhi.88@example.com,Rent,"1 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹18k",On Hold,1,Fully Furnished,Anywhere in Mira Bhayandar,True,18000,Rent
CL-1234,Om Shanker,3893617602,om.90@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹60L",Actively Searching,1,,Bhayandar East,False,6000000,Sale
CL-1235,Wishi Saha,916116049686,wishi.75@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹190L",Actively Searching,3,,Mira Road East,False,19000000,Sale
CL-1236,Yashodhara Baral,3584369908,yashodhara.6@example.com,Rent,"2 BHK Fully Furnished in Bhayandar West, Rent up to â‚¹36k",Actively Searching,2,Fully Furnished,Bhayandar West,False,36000,Rent
CL-1237,Veda Merchant,6470137355,veda.95@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹100L",On Hold,2,,Anywhere in Mira Bhayandar,True,10000000,Sale
CL-1238,Anirudh Iyer,3185752414,anirudh.70@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹240L",On Hold,3,,Mira Road East,False,24000000,Sale
CL-1239,Tristan Bal,918624887032,tristan.45@example.com,Rent,"2 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹39k",On Hold,2,Semi-Furnished,Anywhere in Mira Bhayandar,True,39000,Rent
CL-1240,David Saini,2129271651,david.60@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹220L",Lost Interest,3,,Mira Road East,False,22000000,Sale
CL-1241,Wriddhish Mane,3448551292,wriddhish.88@example.com,Rent,"2 BHK Semi-Furnished in Bhayandar West, Rent up to â‚¹36k",Lost Interest,2,Semi-Furnished,Bhayandar West,False,36000,Rent
CL-1242,Balvan Bedi,540768774,balvan.90@example.com,Rent,"3 BHK Fully Furnished in Mira Road East, Rent up to â‚¹40k",Lost Interest,3,Fully Furnished,Mira Road East,False,40000,Rent
CL-1243,Manbir Sarna,917951849321,manbir.2@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹200L",Site Visit Planned,3,,Mira Road East,False,20000000,Sale
CL-1244,Wyatt Handa,8573546634,wyatt.70@example.com,Sale,"3 BHK in Bhayandar East, Budget â‚¹150L",Site Visit Planned,3,,Bhayandar East,False,15000000,Sale
CL-1245,Rachita Oommen,8241374981,rachita.71@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹105L",Lost Interest,2,,Mira Road East,False,10500000,Sale
CL-1246,Dayamai Karan,5560512616,dayamai.2@example.com,Rent,"1 BHK Unfurnished in Mira Road East, Rent up to â‚¹21k",Negotiating,1,Unfurnished,Mira Road East,False,21000,Rent
CL-1247,Pushti Johal,4600271512,pushti.26@example.com,Rent,"3 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹40k",Deal Closed,3,Semi-Furnished,Mira Road East,False,40000,Rent
CL-1248,Yashvi Mallick,915243621344,yashvi.27@example.com,Rent,"3 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹44k",Site Visit Planned,3,Semi-Furnished,Anywhere in Mira Bhayandar,True,44000,Rent
CL-1249,Zayyan Suresh,910408337580,zayyan.4@example.com,Sale,"1 BHK in Bhayandar West, Budget â‚¹65L",On Hold,1,,Bhayandar West,False,6500000,Sale
CL-1250,Vritti Dutt,4990504214,vritti.40@example.com,Sale,"1 BHK in Anywhere in Mira Bhayandar, Budget â‚¹65L",On Hold,1,,Anywhere in Mira Bhayandar,True,6500000,Sale
CL-1251,Warhi Dugal,913658031458,warhi.18@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹145L",Deal Closed,2,,Bhayandar West,False,14500000,Sale
CL-1252,Vedant Nagy,2457188561,vedant.67@example.com,Sale,"1 BHK in Bhayandar West, Budget â‚¹65L",Site Visit Planned,1,,Bhayandar West,False,6500000,Sale
CL-1253,Bhanumati Khatri,916780147404,bhanumati.41@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹240L",Deal Closed,3,,Mira Road East,False,24000000,Sale
CL-1254,Oliver Kanda,919163283218,oliver.87@example.com,Rent,"1 BHK Semi-Furnished in Bhayandar West, Rent up to â‚¹19k",Lost Interest,1,Semi-Furnished,Bhayandar West,False,19000,Rent
CL-1255,Krishna Shenoy,733493009,krishna.58@example.com,Rent,"3 BHK Unfurnished in Bhayandar West, Rent up to â‚¹40k",Negotiating,3,Unfurnished,Bhayandar West,False,40000,Rent
CL-1256,Nathan Sampath,7910533031,nathan.51@example.com,Rent,"3 BHK Semi-Furnished in Bhayandar East, Rent up to â‚¹56k",Negotiating,3,Semi-Furnished,Bhayandar East,False,56000,Rent
CL-1257,Henry Kurian,8379076683,henry.88@example.com,Rent,"1 BHK Semi-Furnished in Bhayandar East, Rent up to â‚¹20k",Site Visit Planned,1,Semi-Furnished,Bhayandar East,False,20000,Rent
CL-1258,Kritika Tandon,916812846960,kritika.23@example.com,Rent,"3 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹52k",On Hold,3,Semi-Furnished,Anywhere in Mira Bhayandar,True,52000,Rent
CL-1259,Ishita Srivastava,915255839173,ishita.34@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹55L",Site Visit Planned,1,,Mira Road East,False,5500000,Sale
CL-1260,Ijaya Shetty,5439290089,ijaya.69@example.com,Rent,"2 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹39k",Lost Interest,2,Fully Furnished,Anywhere in Mira Bhayandar,True,39000,Rent
CL-1261,Darpan Kade,6488541320,darpan.30@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹60L",On Hold,1,,Mira Road East,False,6000000,Sale
CL-1262,Ucchal Mani,2845862719,ucchal.6@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹65L",Site Visit Planned,1,,Mira Road East,False,6500000,Sale
CL-1263,Omya Nayar,9944660338,omya.64@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹100L",Actively Searching,2,,Bhayandar West,False,10000000,Sale
CL-1264,Vincent Ray,913354774892,vincent.36@example.com,Sale,"1 BHK in Anywhere in Mira Bhayandar, Budget â‚¹65L",On Hold,1,,Anywhere in Mira Bhayandar,True,6500000,Sale
CL-1265,Ekansh Modi,7744782087,ekansh.2@example.com,Rent,"2 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹28k",Negotiating,2,Semi-Furnished,Mira Road East,False,28000,Rent
CL-1266,Vasana Goda,2345987179,vasana.8@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹100L",On Hold,2,,Mira Road East,False,10000000,Sale
CL-1267,Veda Sant,4172266346,veda.1@example.com,Rent,"2 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹38k",On Hold,2,Fully Furnished,Anywhere in Mira Bhayandar,True,38000,Rent
CL-1268,Zaitra Kalita,919517133048,zaitra.14@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹130L",Negotiating,2,,Anywhere in Mira Bhayandar,True,13000000,Sale
CL-1269,Quincy Sura,912955925828,quincy.2@example.com,Rent,"2 BHK Unfurnished in Mira Road East, Rent up to â‚¹39k",Deal Closed,2,Unfurnished,Mira Road East,False,39000,Rent
CL-1270,Yashodhara Palan,2856936894,yashodhara.79@example.com,Rent,"2 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹34k",Site Visit Planned,2,Fully Furnished,Bhayandar East,False,34000,Rent
CL-1271,Parth Madan,3770653133,parth.50@example.com,Rent,"3 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹52k",Site Visit Planned,3,Fully Furnished,Bhayandar East,False,52000,Rent
CL-1272,Ria Padmanabhan,914897652308,ria.80@example.com,Rent,"3 BHK Unfurnished in Bhayandar East, Rent up to â‚¹58k",Actively Searching,3,Unfurnished,Bhayandar East,False,58000,Rent
CL-1273,Ishwar Vohra,8420627037,ishwar.96@example.com,Rent,"1 BHK Unfurnished in Bhayandar East, Rent up to â‚¹24k",Negotiating,1,Unfurnished,Bhayandar East,False,24000,Rent
CL-1274,Ishwar Sandhu,2744914190,ishwar.23@example.com,Sale,"1 BHK in Bhayandar West, Budget â‚¹55L",Negotiating,1,,Bhayandar West,False,5500000,Sale
CL-1275,Osha Nanda,5040133058,osha.10@example.com,Sale,"1 BHK in Anywhere in Mira Bhayandar, Budget â‚¹70L",Actively Searching,1,,Anywhere in Mira Bhayandar,True,7000000,Sale
CL-1276,Kavya Varma,6192968151,kavya.18@example.com,Sale,"3 BHK in Bhayandar East, Budget â‚¹230L",Actively Searching,3,,Bhayandar East,False,23000000,Sale
CL-1277,Tanmayi Pandit,2961277962,tanmayi.58@example.com,Sale,"3 BHK in Anywhere in Mira Bhayandar, Budget â‚¹170L",Actively Searching,3,,Anywhere in Mira Bhayandar,True,17000000,Sale
CL-1278,Bina Talwar,910139357068,bina.5@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹65L",Actively Searching,1,,Mira Road East,False,6500000,Sale
CL-1279,Hemani Nori,4520874195,hemani.80@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹50L",Negotiating,1,,Mira Road East,False,5000000,Sale
CL-1280,Jack Lata,6381348539,jack.85@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹130L",Lost Interest,2,,Anywhere in Mira Bhayandar,True,13000000,Sale
